Response Received Date,Overall Experience,Person Identifier,What Issues,What could we improve,What was great,Additional Comments,Any Issues,Arrival Time,Tracking,Campaign,Survey Details
12/30/2022 15:39,Very Satisfied,71826358_2022_03_y,,,It's easy!,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828334218_12576
12/30/2022 12:08,Satisfied,71854693_2022_03_9,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828476810_21543
12/30/2022 10:02,Very Satisfied,71837396_2022_04_k,My order has incorrect items and/or missing items.,,"It was nice to know that when I order the books will be coming in about a week, even with the holidays.",It is nice you send an alternative item if one is not in stock at the time.,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828427947_18359
12/29/2022 23:35,Very Satisfied,71830259_2022_04_k,,,timing before our winter break,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828250589_7180
12/29/2022 18:17,Satisfied,71877535_2022_04_k,,,,,No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828495963_22708
12/29/2022 18:03,Satisfied,71856800_2022_04_j,,"December book orders need to come earlier, they end up coming too close to winter break, sometimes I can't get them to families in time.",,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828255421_7288
12/29/2022 17:04,Very Dissatisfied,71891943_2022_04_j,,You did great!,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828357648_13875
12/29/2022 16:21,Very Satisfied,71838658_2022_03_s,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828239091_6334
12/29/2022 14:19,Very Dissatisfied,71823537_2022_04_y,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828509183_23604
12/29/2022 13:18,Somewhat Dissatisfied,71852780_2022_04_y,My items are damaged.,One hardcover book was damaged when it arrived.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828291924_10065
12/29/2022 7:59,Satisfied,71803536_2022_04_x,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193753_3012
12/28/2022 17:29,Very Satisfied,71868417_2022_04_j,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161862_1154
12/28/2022 11:41,Very Satisfied,71873407_2022_06_3,,,Speed and accuracy,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828216208_4515
12/28/2022 10:53,Very Satisfied,71821537_2022_03_a,,,The ordering process was easy for families and the books came in good time.,"For books shipped to school, there used to be ""tear away"" lists for each kid's books. This made separating the orders easier. The box did contain a shipping list, with names of students and books, but the ""tear away"" list was nice to keep with the order once sorted.",No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193568_2800
12/28/2022 10:20,Very Satisfied,71869265_2022_04_k,,,How fast the products shipped.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161177_864
12/27/2022 21:28,Satisfied,71842245_2022_04_x,My order has incorrect items and/or missing items.,I was missing a book.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828204514_3497
12/27/2022 20:49,Somewhat Dissatisfied,71859425_2022_03_i,,I thought my student's order would make it to school before our Christmas break.,,"I do believe orders before December 9, 2022 should have been delivered to school before Christmas break.",No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193608_2786
12/27/2022 16:55,Very Satisfied,71874422_2022_03_y,,,It was easy to check my students' orders and finalize my order.,,No,Yes,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828424401_17816
12/27/2022 12:16,Satisfied,71874804_2022_03_y,,"One of my students placed an order the day after my deadline. Scholastic allowed them to place the order, so I submitted their order the next day. That was on December the 7th. The order still says ""processing"". My order that I placed on December 6th arrived to my school on December 21st. I am disappointed that the second order is still just processing and concerned about it arriving to my student.",,"I submitted something about my second order that is processing, but have not heard anything back yet.",No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828518302_24394
12/27/2022 11:39,Neutral,71835097_2022_04_x,My items are damaged.,One of the book covers was practically ripped off because another book was jammed inside it.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828422680_17754
12/27/2022 10:10,Very Satisfied,71889989_2022_04_m,,,ease or ordering and quick delivery,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828245586_6547
12/27/2022 10:01,Satisfied,71820222_2022_03_k,,,,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828438898_18853
12/27/2022 9:00,Very Satisfied,71897268_2022_03_k,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828191064_2472
12/27/2022 8:45,Very Satisfied,71859190_2022_04_x,,,Ease of use of site - delivery was quick !,Keep doing what you are doing ! Delivery is so much better this year !,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828405828_16893
12/27/2022 8:17,Very Dissatisfied,71878044_2022_04_x,I have not received a package.,Better communication with shipping and shipping issues. Do not send an email with tracking information if the package has not been shipped.,,Very disappointed. I ordered books for my students as a holiday gift on 12/6. On 12/7 I received that they had shipped and would be delivered by 12/8. When I tracked the shipment and it said processing for 2 weeks. I have still not received the package. If there was an issue with the shipment it would have been nice to get an email explaining the issue.,Yes,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828332401_12475
12/27/2022 6:03,Very Satisfied,300133563_2022_01_6,,,I love the selection.,I would love to be able to purchase Dr. Seuss books from you!,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828238661_6168
12/27/2022 2:39,Very Satisfied,71800578_2022_08_1,,,Mailed to me quickly,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142313_89
12/27/2022 1:40,Very Satisfied,71832057_2022_04_j,My order has incorrect items and/or missing items.,,The quick response to my needs and FAST delivery,"While my order WAS missing items, it was rectified immediately and customer service was very prompt and helpful!!",Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828227908_5521
12/26/2022 21:56,Very Satisfied,71848956_2022_04_y,,,Ordering was easy and the order came in a timely manner.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193689_2910
12/26/2022 21:32,Very Satisfied,71891852_2022_03_t,,,Easy and efficient,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828192790_2559
12/26/2022 21:24,Very Satisfied,71868044_2022_03_x,,,Everything went just right.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828399266_16782
12/26/2022 19:32,Somewhat Dissatisfied,71829618_2022_03_9,,Delivered the package on time,,,,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828179179_1893
12/26/2022 19:23,Very Satisfied,71868471_2022_03_i,,,The ease if ordering and the speediness of delivery.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828257434_7407
12/26/2022 17:56,Very Satisfied,71874972_2022_03_a,,,Great communication,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828496126_22794
12/26/2022 16:16,Neutral,71868013_2022_03_b,,Let me know when it was delivered.,,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828357576_13834
12/26/2022 15:19,Satisfied,71840359_2022_04_x,,Much better this year! However the shipping minimum makes it tougher on student families,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828373086_15040
12/26/2022 15:18,Very Dissatisfied,71854892_2022_03_a,,was a mistake- did not mean that low.. but the number of books ordered was too many- and i could not fix it- too challenging to figure out,,11 books were ordered i only wanted 6 once i realized i made a mistake it was too late used bonus points so did not cost actual money but still frustrating,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142935_420
12/26/2022 15:14,Very Satisfied,71824959_2022_03_9,,,It was a super quick turn around.  You want to give parents enough time to order but some of the books kids want are seasonal so it's nice when the turn around time is quick so they can get the books they want before that season is over.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828346391_13202
12/26/2022 15:12,Satisfied,71835406_2022_04_y,My items are damaged.,Better packaging. Books were damaged when they arrived because the box was crunched on the corner.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828360474_14314
12/26/2022 15:11,Satisfied,71870916_2022_04_k,,Nothing,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828447010_19375
12/26/2022 15:10,Somewhat Dissatisfied,71818851_2022_04_k,My items are damaged.,Box came smashed.  All books arrived bent.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828343986_12932
12/26/2022 15:05,Satisfied,71881383_2022_04_x,,"Can you bring back the perforated sections on the packing list?  Sometimes my class has a large order - I loved the perforated sections that I could lay out and sort the books easier into piles.  It was very inconvenient.  Maybe it sounds like a small thing, but it's a timesaver and, over the course of a school year, all that time is a biggee!",,UPS seems to be more reliable and timely than when my order begins with UPS and then is given to the USPS.,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828215935_4319
12/26/2022 14:56,Very Satisfied,71873100_2022_03_9,,,Easy to order. Quick delivery,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142981_458
12/26/2022 14:54,Satisfied,71838574_2022_04_j,,"When I submit my class's order and I have earned a $ reward, it would be nice if I could easily access the catalog to make a choice for my reward instead of having to get out of the ""checkout"" section.",,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828306832_11091
12/26/2022 14:48,Very Satisfied,71841954_2022_03_s,,,Quick delivery,,No,Yes,,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161981_1237
12/26/2022 14:37,Very Satisfied,71855998_2022_03_i,,,"Easy ordering, fast shipment",,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828346574_13293
12/26/2022 14:36,Very Satisfied,71865117_2022_04_y,,,"Easy-to-navigate website, great customer service, and wonderful books at a reasonable price!","I really appreciate the ability to earn points and use them to buy books for my classroom. Thank you for always being a trusted, customer-focused company!",No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828214245_4152
12/26/2022 14:00,Very Dissatisfied,71846638_2022_01_v,,Delivered my books.,,I would like my items.,No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828520123_24411
12/26/2022 13:57,Satisfied,71862025_2022_04_x,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828205015_3572
12/26/2022 13:50,Somewhat Dissatisfied,71823399_2022_03_s,,The last time I ordered it took so long to get my books my parents got us set.,,,No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828373108_15054
12/26/2022 13:50,Very Satisfied,71866806_2022_04_y,,,Shipping was extremely quick,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828334069_12519
12/26/2022 13:44,Very Satisfied,71876105_2022_03_y,,,I got my order quickly and before winter break!,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828393302_16181
12/26/2022 13:26,Very Satisfied,71847768_2022_04_j,,,The turnaround time was VERY quick!  I received the order in a very timely manner?,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828390344_16012
12/26/2022 13:03,Satisfied,71890402_2022_03_k,,It would be very helpful if the individual orders were packaged together instead of having to piece together my and my student's orders,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828422641_17731
12/26/2022 13:03,Satisfied,71868424_2022_04_j,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828314623_11545
12/26/2022 12:53,Very Dissatisfied,71878222_2022_03_a,,Books didn't arrive for holiday distribution.,,"While I could track my shipment, it seemed to stall at different points along the way.",No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828258669_7537
12/26/2022 12:39,Very Dissatisfied,71890300_2022_03_b,,Bring back the YA flyer,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828360231_14208
12/26/2022 12:38,Very Satisfied,71833291_2022_03_j,,,The tracking system on the packaging is very accurate!,N/A,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828390358_16017
12/26/2022 12:33,Very Satisfied,71824161_2022_03_n,,,"I was able to place my order easily and I received it in the promised time, in perfect condition.",,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828162872_1600
12/26/2022 12:29,Satisfied,71863037_2022_04_y,bent covers on a few books,More variety with book choices - not enough quality literature being offered-,,there needs to be more book choices- I'm looking for good literature for my kids to read,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828191046_2460
12/26/2022 12:28,Very Satisfied,71827713_2022_03_9,,,Timely shipping,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828471300_20851
12/26/2022 12:26,Satisfied,71849855_2022_04_k,,I had to call and request flyers which took 3 weeks to come in which interrupted our holiday ordering plans.,,,No,Yes,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828488390_22330
12/26/2022 12:25,Very Satisfied,71822971_2022_01_6,,,Easy to order online for parents,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828427031_18246
12/26/2022 12:22,Somewhat Dissatisfied,71857477_2022_06_3,,Whenever UPS turns the package over to USPS there's a long delay in receiving the package.,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828236457_5898
12/26/2022 12:22,Very Satisfied,71842709_2022_04_k,,,Easy to order and quick shipping,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828299487_10473
12/26/2022 12:21,Very Satisfied,71866523_2022_03_9,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828247510_6666
12/26/2022 12:21,Very Satisfied,71827996_2022_04_j,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828405805_16880
12/26/2022 12:18,Very Satisfied,71894193_2022_04_k,,,"Speedy, efficient, all there, great books!",We. Love. Scholastic Books. ‼️,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828292692_10174
12/26/2022 12:11,Very Satisfied,71857298_2022_04_j,,,Quick service,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828215005_4226
12/26/2022 12:10,Very Satisfied,71886626_2022_03_y,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828162709_1543
12/26/2022 12:06,Satisfied,71868268_2022_03_s,,,,,No,Yes,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828224704_4914
12/26/2022 11:02,Satisfied,71821071_2022_04_j,,I would like to see a larger selection of graphic novels.,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828205489_3852
12/25/2022 14:37,Very Satisfied,71829392_2022_04_k,,,The time of delivery,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828504928_23262
12/25/2022 14:18,Very Satisfied,71866469_2022_01_6,,,,,No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828484165_21864
12/25/2022 10:57,Very Dissatisfied,71849637_2022_04_k,,My book box never came before Christmas break for my students.,,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828396049_16279
12/24/2022 10:55,Very Satisfied,71845661_2022_04_x,,,Timely,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828192857_2593
12/24/2022 9:32,Very Dissatisfied,71836925_2022_03_j,I have not received a package.,Books have not been delivered,,,Yes,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828222647_4882
12/24/2022 7:17,Very Satisfied,71881777_2022_06_3,,,The order came so quickly! Less than a week!,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828396115_16358
12/23/2022 22:16,Satisfied,71836038_2022_04_k,,Shipping times were fantastic! Items ordered were all there. Great work! A parent order books and wanted them shipped to their home. I received the order at my home when it had her address but both of our names were on the label. Should have only had the parent's name. Minor mistake.,I received,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828439267_18931
12/23/2022 20:45,Very Satisfied,71825349_2022_04_x,,,Improved delivery time,So glad the shipping and ordering is back to normal.,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828179702_2090
12/23/2022 20:32,Satisfied,71895117_2022_03_j,,Better shipping time- the company you use runs LATE beyond their own tracking info,,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828181526_2399
12/23/2022 20:27,Very Satisfied,71838471_2022_03_k,,,It was delivered quickly and accurately. Thank you!,Thank you for working hard to get your deliveries back on track!  It’s much appreciated:),No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828279276_9011
12/23/2022 20:19,Very Dissatisfied,71848946_2022_04_x,,My books did not arrive in time to give to my students before the school week ended. I receive an email saying I’d receive them Tuesday. On Friday they still hadn’t arrived.,,"I have been on break for a week. I have no idea if I’ve even received the books yet, or it the order is correct",No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193582_2772
12/23/2022 20:05,Very Satisfied,71854134_2022_04_x,,,The order came in a timely fashion.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828249256_6859
12/23/2022 20:04,Very Satisfied,71899389_2022_04_m,,,Ease and speed.,It would be great if we could enter a coupon code even after placing an order.  It’s so easy to forget when managing a classroom.  It’s a shame to lose the points.,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828178043_1641
12/23/2022 20:01,Very Dissatisfied,71871144_2022_03_s,,I never received my order,,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828191059_2469
12/23/2022 18:22,Very Satisfied,71836851_2022_04_k,My order has incorrect items and/or missing items.,,Great customer service representative,I called about a missing item.  The rep was very accommodating and assured me it would be mailed the next day.  It was and arrived before our last day of school,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142245_97
12/23/2022 18:19,Somewhat Dissatisfied,71820685_2022_04_x,"My order has incorrect items and/or missing items.,My order was delivered late","I paid the additional amount to have my order delivered faster and at least 3 or 4 items were not delivered with the rest. The 3 items eventually arrived, but it took an additional two weeks to receive them. I was told you could not expedite the second delivery even though it was Scholastic who delayed the delivery I paid extra to receive quicker. I will not use that service again as I can see there is no guarantee of quicker service for the entire order.",,,Yes,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161269_937
12/23/2022 18:03,Very Satisfied,71861734_2022_03_n,,,Always fast delivery!,I love Scholastic Book Clubs!,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828205200_3651
12/23/2022 17:56,Very Satisfied,71851879_2022_03_s,,,Easy fast,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828239060_6317
12/23/2022 17:26,Very Satisfied,71870535_2022_04_x,,,Delivery was fast.   I do have a major concern. May of my parents who order don’t speak English and don’t understand how to put coupon codes in. Many have lost out on their free $5 books because of this. I hope you can fix your system that it automatically adds it to the parents account instead of them adding the code in.  Please try to make this easier for families who speak limited English and or are in a rush,Delivery was fast.   I do have a major concern. May of my parents who order don’t speak English and don’t understand how to put coupon codes in. Many have lost out on their free $5 books because of this. I hope you can fix your system that it automatically adds it to the parents account instead of them adding the code in.  Please try to make this easier for families who speak limited English and or are in a rush,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828295116_10326
12/23/2022 17:17,Very Satisfied,300132745_2022_03_k,,,Orders have come very quickly with no damage or missing items!,None this year!!,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828227665_5360
12/23/2022 16:57,Somewhat Dissatisfied,71872538_2022_03_a,,My order included Christmas presents for my students and I did not receive them before we went on winter break.,,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828282126_9384
12/23/2022 16:43,Very Satisfied,71881879_2022_03_9,,,Timing,Need to update bonus catalog and offer more points,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828227763_5408
12/23/2022 16:39,Very Dissatisfied,71823019_2022_03_9,,I still haven’t received my package.,,My package still hasn’t arrived,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828447038_19394
12/23/2022 16:35,Somewhat Dissatisfied,71851448_2022_03_9,,I have yet to receive my order. My students will get their books now after the holiday,,,No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828201400_3204
12/23/2022 16:18,Satisfied,71883945_2022_04_j,,Have the books wrapped per child’s order The website is sometimes confusing and brings you to places you didn’t need/want to go to,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828357568_13829
12/23/2022 15:48,Very Satisfied,71880379_2022_04_k,,,Easy ordering through one of your representatives,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828179533_1966
12/23/2022 15:32,Very Satisfied,71883138_2022_03_g,,,The ease of the process.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828238003_6056
12/23/2022 15:25,Very Satisfied,71842609_2022_04_x,,,Quick delivery,"I have not been receiving catalogs, unless request them online.  (I did place an order in September, which online it states then I would receive subsequent catalogs.   I've never had this problem in previous years.)",No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828204517_3499
12/23/2022 15:23,Very Satisfied,71811681_2022_03_9,,,Timing and accuracy!!!,Very satisfied!!!!  Online is easy too!!!!,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828226752_5200
12/23/2022 15:21,Very Dissatisfied,71795753_2022_03_9,I have not received a package.,Sent over night order,,I haven't recieved original order placed or the one that was recent,Yes,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828216756_4718
12/23/2022 15:12,Very Satisfied,71827724_2022_04_x,,,Everything was here before Christmas!,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142567_193
12/23/2022 15:07,Very Satisfied,71872604_2022_04_x,,,I received my book box within a week of ordering.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828143002_479
12/23/2022 15:07,Satisfied,71893753_2022_03_i,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828360446_14274
12/23/2022 15:06,Very Dissatisfied,71838510_2022_04_x,,I never received it,,Deliver the item,No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828425284_17993
12/23/2022 15:01,Very Dissatisfied,71822924_2022_03_j,"I have not received a package.,My order was delivered late",Placed an order December 10. Still hasn’t shipped,,,Yes,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828270313_8475
12/23/2022 15:01,Somewhat Dissatisfied,71808357_2022_03_s,,It took over 2 1/2 weeks for my books to be delivered.,,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828370415_14699
12/23/2022 15:00,Very Satisfied,71836212_2022_04_x,,,Everything was exactly how it should have been.,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828211915_4017
12/23/2022 14:54,Satisfied,71891324_2022_03_y,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828303923_10954
12/23/2022 14:52,Satisfied,71867341_2022_03_9,My order has incorrect items and/or missing items.,One of the books was missing from the order.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828283815_9565
